;YEAR;VAR1_sum;VAR2_sum;VAR3_sum
0;1900;74.03;73.62;72.27
1;1901;74.05;73.64;72.22
2;1902;73.99;73.61;72.11
3;1903;74.04;73.68;72.77
4;1904;74.07;73.47;72.11
5;1905;73.92;73.55;72.61
6;1906;73.99;73.61;72.92
7;1907;73.94;73.63;72.86
8;1908;74.03;73.53;72.53
9;1909;73.98;73.45;72.16
10;1910;73.94;73.59;72.62
11;1911;73.87;73.38;72.45
12;1912;74.06;73.52;72.22
13;1913;74.12;73.72;72.97
14;1914;73.84;73.39;72.15
15;1915;73.88;73.6;72.46
16;1916;74.14;73.74;73.05
17;1917;74.14;73.56;72.26
18;1918;73.85;73.5;72.58
19;1919;74.02;73.68;73.19
20;1920;73.98;73.39;72.19
21;1921;74.11;73.67;72.75
22;1922;74.06;73.55;72.19
23;1923;73.88;73.42;72.15
24;1924;74.02;73.7;72.96
25;1925;73.9;73.5;72.18
26;1926;74.06;73.49;72.08
27;1927;74.15;73.6;72.61
28;1928;74.41;73.82;73.26
29;1929;74.16;73.72;73.15
30;1930;73.8;73.44;72.97
31;1931;73.78;73.25;72.13
32;1932;74.03;73.71;73.13
33;1933;74.0;73.57;72.88
34;1934;73.77;73.04;72.05
35;1935;73.62;72.91;71.99
36;1936;73.94;73.23;72.02
37;1937;74.04;73.78;73.15
38;1938;74.0;73.68;72.78
39;1939;74.01;73.46;72.21
40;1940;74.0;73.45;72.18
41;1941;73.92;73.46;72.63
42;1942;74.06;73.74;72.5
43;1943;74.15;73.71;72.78
44;1944;73.78;73.43;72.35
45;1945;74.09;73.68;72.24
46;1946;74.31;73.39;72.2
47;1947;74.17;73.79;73.33
48;1948;73.79;73.35;72.17
49;1949;73.86;73.46;72.39
50;1950;74.08;73.73;72.87
51;1951;74.14;73.67;72.52
52;1952;74.0;73.47;72.31
53;1953;73.85;73.45;72.16
54;1954;74.02;73.62;72.36
55;1955;74.09;73.57;72.72
56;1956;74.0;73.62;73.05
57;1957;73.82;73.61;72.67
58;1958;73.95;73.76;73.0
59;1959;74.06;73.81;73.37
60;1960;74.06;73.65;72.74
61;1961;73.99;73.61;72.53
62;1962;73.84;73.41;72.79
63;1963;73.45;72.86;72.02
64;1964;73.63;73.05;72.46
65;1965;73.69;73.07;72.0
66;1966;73.98;73.71;72.89
67;1967;74.0;73.77;73.28
68;1968;74.1;73.76;73.11
69;1969;74.03;73.63;72.75
70;1970;74.04;73.54;72.56
71;1971;74.05;73.55;72.66
72;1972;74.52;73.58;72.23
73;1973;74.7;73.47;72.4
74;1974;74.05;73.38;72.24
75;1975;73.96;73.4;72.34
76;1976;74.11;73.45;72.27
77;1977;74.59;73.36;72.2
78;1978;74.11;73.38;72.44
79;1979;74.0;73.47;72.19
80;1980;74.18;73.6;72.89
81;1981;73.82;73.51;72.6
82;1982;74.11;73.46;72.43
83;1983;74.09;73.65;73.38
84;1984;74.06;73.45;72.36
85;1985;74.29;73.47;72.18
86;1986;74.13;73.56;72.29
87;1987;74.86;73.74;73.01
88;1988;73.87;73.39;72.28
89;1989;73.94;73.61;72.96
90;1990;74.03;73.66;72.93
91;1991;74.16;73.59;73.06
92;1992;73.97;73.69;72.86
93;1993;74.48;73.48;72.34
94;1994;73.76;73.31;72.21
95;1995;74.03;73.61;73.21
96;1996;74.09;73.71;72.63
97;1997;74.46;73.51;72.93
98;1998;74.04;73.48;73.09
99;1999;73.67;73.39;72.3
100;2000;74.11;73.76;73.2
101;2001;73.87;73.58;73.27
102;2002;74.09;73.83;73.53
103;2003;73.98;73.65;72.8
104;2004;74.1;73.8;73.16
105;2005;74.2;73.7;73.33
106;2006;74.3;73.89;73.68
107;2007;74.41;73.69;73.22
108;2008;74.09;73.75;73.01
109;2009;74.07;73.73;73.2
110;2010;73.87;73.71;73.54
111;2011;74.19;73.8;73.17
112;2012;74.38;73.54;73.1
113;2013;74.04;73.79;73.03
114;2014;74.11;73.74;73.13
115;2015;73.99;73.63;72.51
116;2016;74.27;73.72;73.39
117;2017;74.91;74.0;73.38
118;2018;74.2;73.46;72.7
119;2019;74.24;73.88;72.64
120;2020;74.93;74.03;73.41
